103.0
calibration_0007.txt
0.06850289553403854,-0.08686164021492004,-9.676578521728516;0.0;0.049799997359514236,-0.10130000114440918,-9.805999755859375;-0.0027925267349928617,0.0016231562476605177,-9.4247778179124E-4;0.008999999612569809,0.013100000098347664,0.11699999868869781;0.0,0.0,0.0;0.0;-0.9957050085067749,-0.09239500015974045,-0.0020459999796003103;0.0
0.0972907766699791,0.08954314142465591,-9.838712692260742;0.0;0.04769999906420708,-0.094200000166893,-9.805999755859375;-0.004328416660428047,0.002740166848525405,-0.0013788101496174932;-0.4300999939441681,-0.03319999948143959,-0.22609999775886536;0.0,0.0,0.0;0.0;-0.9956870079040527,-0.09260900318622589,-0.0019829999655485153;0.0
-0.5005221962928772,-0.11973881721496582,-9.952658653259277;0.0;0.046799998730421066,-0.09439999610185623,-9.805999755859375;-0.0025307273026555777,0.0,-5.934119690209627E-4;0.002099999925121665,0.0551999993622303,0.3229999840259552;0.0,0.0,0.0;0.0;-0.9956949949264526,-0.09253200143575668,-0.001930000027641654;0.0
-0.6528413891792297,-0.07663360238075256,-9.896653175354004;0.0;0.045899998396635056,-0.09479999542236328,-9.805999755859375;-0.004398229531943798,-0.007033676840364933,-0.004817108623683453;-0.12439999729394913,0.04580000042915344,0.28380000591278076;0.0,0.0,0.0;0.0;-0.995710015296936,-0.09237000346183777,-0.001883000019006431;0.0
-0.6663063168525696,-0.0773901715874672,-9.855635643005371;0.0;0.046799998730421066,-0.09510000050067902,-9.805999755859375;-0.0029845130629837513,-0.002600540639832616,-0.00457276264205575;0.07079999893903732,0.06560000032186508,0.352400004863739;0.0,0.0,0.0;0.0;-0.9957169890403748,-0.09228900074958801,-0.001930000027641654;0.0
-0.5721184015274048,-0.06579266488552094,-9.763583183288574;0.0;0.045899998396635056,-0.09519999474287033,-9.805999755859375;-0.0018500490114092827,-0.001343903481028974,-0.0045553091913461685;0.6011999845504761,0.026499999687075615,0.421099990606308;0.0,0.0,0.0;0.0;-0.995727002620697,-0.09217900037765503,-0.0018909999635070562;0.0
0.19776105880737305,-0.05970181152224541,-9.434026718139648;0.0;0.04879999905824661,-0.09690000116825104,-9.805999755859375;-8.552113431505859E-4,0.006405358202755451,-0.0028448866214603186;0.5982999801635742,-0.02070000022649765,0.14639998972415924;0.0,0.0,0.0;0.0;-0.9957190155982971,-0.09226199984550476,-0.0020310000982135534;0.0
0.8250323534011841,-0.11141657084226608,-9.517929077148438;0.0;0.04649999737739563,-0.09690000116825104,-9.805999755859375;-0.0024260077625513077,0.006387905217707157,0.0013962633674964309;0.40449997782707214,-0.02070000022649765,0.02879999950528145;0.0,0.0,0.0;0.0;-0.9957299828529358,-0.09214500337839127,-0.001905999961309135;0.0
-0.43518924713134766,-0.10784441977739334,-9.99878978729248;0.0;0.04839999973773956,-0.09789999574422836,-9.805999755859375;-0.003525565145537257,0.0017627825727686286,-6.2831852119416E-4;-0.6466000080108643,0.05859999731183052,0.038599997758865356;0.0,0.0,0.0;0.0;-0.9957489967346191,-0.09193199872970581,-0.002004999900236726;0.0
0.3879372775554657,-0.06204812973737717,-9.404088973999023;0.0;0.04879999905824661,-0.09919999539852142,-9.805999755859375;3.8397242315113544E-4,0.00502654816955328,-0.0013788101496174932;0.6669999957084656,-0.018400000408291817,0.19550000131130219;0.0,0.0,0.0;0.0;-0.9957559704780579,-0.09185300022363663,-0.0020129999611526728;0.0
-0.46427401900291443,-0.1342380940914154,-9.998493194580078;0.0;0.04910000041127205,-0.10049999505281448,-9.805999755859375;-0.003717551240697503,4.1887903353199363E-4,-0.0011344640515744686;-0.24529999494552612,0.06129999831318855,0.26409998536109924;0.0,0.0,0.0;0.0;-0.9957770109176636,-0.09161999821662903,-0.0020240000449121;0.0
0.8316978216171265,-0.09197565168142319,-9.40391731262207;0.0;0.051899999380111694,-0.1014999970793724,-9.805899620056152;-0.0020420351065695286,0.01104793418198824,0.0;-0.0616999976336956,-0.0357000008225441,-0.1378999948501587;0.0,0.0,0.0;0.0;-0.9957839846611023,-0.09154099971055984,-0.00216599996201694;0.0
-0.6290237903594971,-0.07062894850969315,-9.8200101852417;0.0;0.052799999713897705,-0.1014999970793724,-9.805899620056152;-0.002809980185702443,0.003804817795753479,-6.457717972807586E-4;0.7708999514579773,0.023000000044703484,0.40139999985694885;0.0,0.0,0.0;0.0;-0.9958069920539856,-0.09128499776124954,-0.0022140000946819782;0.0
-0.6614125967025757,-0.09606494754552841,-10.014399528503418;0.0;0.05260000005364418,-0.10260000079870224,-9.805899620056152;-0.00331612559966743,-0.003036872949451208,-0.002478367416188121;0.7515000104904175,0.02419999986886978,0.4307999908924103;0.0,0.0,0.0;0.0;-0.9958279728889465,-0.09105999767780304,-0.002196999965235591;0.0
-0.200088232755661,-0.1272374540567398,-10.01579761505127;0.0;0.051899999380111694,-0.10189999639987946,-9.805899620056152;-0.004625122528523207,-0.001483529806137085,1.3962633966002613E-4;0.3990999758243561,0.03319999948143959,0.42100000381469727;0.0,0.0,0.0;0.0;-0.9958469867706299,-0.09084700047969818,-0.0021689999848604202;0.0
0.25056755542755127,-0.14616122841835022,-9.858038902282715;0.0;0.051899999380111694,-0.10249999910593033,-9.805899620056152;-0.0027576202992349863,0.0025307273026555777,0.0018325956771150231;0.13429999351501465,0.0632999986410141,0.40129998326301575;0.0,0.0,0.0;0.0;-0.9958590269088745,-0.09071800112724304,-0.00216599996201694;0.0
0.5220029950141907,-0.15467500686645508,-9.739056587219238;0.0;0.04989999905228615,-0.10269999504089355,-9.805899620056152;-0.004660028964281082,0.00188495556358248,0.002827433403581381;-0.20679999887943268,0.06350000202655792,0.26409998536109924;0.0,0.0,0.0;0.0;-0.9958750009536743,-0.09054599702358246,-0.0020570000633597374;0.0
0.781630277633667,-0.14231134951114655,-9.531383514404297;0.0;0.051500000059604645,-0.10260000079870224,-9.805899620056152;-0.004136430099606514,-3.490658491500653E-5,5.2359879191499203E-5;-0.4829999804496765,0.07319999486207962,0.11699999868869781;0.0,0.0,0.0;0.0;-0.995868980884552,-0.09061399847269058,-0.0020890000741928816;0.0
0.849491536617279,-0.13503298163414001,-9.469852447509766;0.0;0.05260000005364418,-0.10439999401569366,-9.805899620056152;-0.002809980185702443,0.004049163777381182,7.330382941290736E-4;-0.6507999897003174,0.016200000420212746,-0.23600000143051147;0.0,0.0,0.0;0.0;-0.9958840012550354,-0.09043999761343002,-0.0021929999347776175;0.0
0.8572583198547363,-0.12256397306919098,-9.437493324279785;0.0;0.05169999971985817,-0.10459999740123749,-9.805899620056152;-0.0035953782498836517,0.00205948855727911,0.0;-0.6401000022888184,0.05549999698996544,0.01889999955892563;0.0,0.0,0.0;0.0;-0.9958980083465576,-0.09027700126171112,-0.002142000012099743;0.0
0.8627457618713379,-0.11523772031068802,-9.422016143798828;0.0;0.051500000059604645,-0.10480000078678131,-9.805899620056152;-0.003281218931078911,0.004956734832376242,7.679448463022709E-4;-0.6888999938964844,0.06560000032186508,-0.03989999741315842;0.0,0.0,0.0;0.0;-0.9959070086479187,-0.09018599987030029,-0.0021349999587982893;0.0
0.8349730968475342,-0.11364796757698059,-9.375493049621582;0.0;0.050999999046325684,-0.10529999434947968,-9.805899620056152;-0.0010646508308127522,0.0055850534699857235,-0.0015009831404313445;-0.698199987411499,0.06599999964237213,-5.999999702908099E-4;0.0,0.0,0.0;0.0;-0.9959200024604797,-0.09003400057554245,-0.0021069999784231186;0.0
0.8361222743988037,-0.10429142415523529,-9.340202331542969;0.0;0.04839999973773956,-0.10599999874830246,-9.805899620056152;-0.003228859044611454,0.0023387412074953318,-0.0023387412074953318;-0.4405999779701233,0.007899999618530273,-0.16740000247955322;0.0,0.0,0.0;0.0;-0.9959290027618408,-0.08993600308895111,-0.0019749999046325684;0.0
0.8162599205970764,-0.09826761484146118,-9.330070495605469;0.0;0.0502999983727932,-0.10569999366998672,-9.805899620056152;-0.003054326167330146,0.008656833320856094,0.00376991112716496;-0.7563999891281128,0.03709999844431877,-0.12809999287128448;0.0,0.0,0.0;0.0;-0.9959359765052795,-0.08985800296068192,-0.002067999914288521;0.0
0.7643823623657227,-0.13529154658317566,-9.469355583190918;0.0;0.05049999803304672,-0.10729999840259552,-9.805899620056152;-0.0012740903766825795,0.00815068744122982,0.0024958208668977022;-0.7663999795913696,0.048499997705221176,-0.05949999764561653;0.0,0.0,0.0;0.0;-0.995943009853363,-0.08977799862623215,-0.0020749999675899744;0.0
0.7338707447052002,-0.14760732650756836,-9.523310661315918;0.0;0.04580000042915344,-0.10729999840259552,-9.805899620056152;-0.0027925267349928617,0.004974188283085823,0.0022165682166814804;-0.7518999576568604,0.04839999973773956,-0.010499999858438969;0.0,0.0,0.0;0.0;-0.9959669709205627,-0.08951999992132187,-0.0018350000027567148;0.0
0.59296715259552,-0.1393042355775833,-9.582389831542969;0.0;0.047199998050928116,-0.10830000042915344,-9.805899620056152;-0.004049163777381182,0.0012740903766825795,0.002024581888690591;-0.6748999953269958,0.07889999449253082,0.09730000048875809;0.0,0.0,0.0;0.0;-0.9959629774093628,-0.08955799788236618,-0.001905999961309135;0.0
0.3876021206378937,-0.12962208688259125,-9.679326057434082;0.0;0.047199998050928116,-0.10949999839067459,-9.805899620056152;-0.002687806962057948,0.0013962633674964309,5.759586347267032E-4;-0.44919997453689575,0.10949999839067459,0.2345999926328659;0.0,0.0,0.0;0.0;-0.9959499835968018,-0.08969400078058243,-0.0019020000472664833;0.0
-0.023807941004633904,-0.12664368748664856,-9.838445663452148;0.0;0.04490000009536743,-0.10899999737739563,-9.805899620056152;-0.004241149872541428,2.7925267932005227E-4,-5.235987482592463E-4;0.06289999932050705,0.09919999539852142,0.4699999988079071;0.0,0.0,0.0;0.0;-0.9959710240364075,-0.08946400135755539,-0.0017809999408200383;0.0
-0.5100032687187195,-0.10770076513290405,-9.955646514892578;0.0;0.045099999755620956,-0.10979999601840973,-9.805899620056152;-0.004310963209718466,-0.0034208453726023436,-0.0019896754529327154;-0.40789997577667236,0.09019999951124191,0.2345999926328659;0.0,0.0,0.0;0.0;-0.9959740042686462,-0.08942700177431107,-0.0017940000398084521;0.0
-0.7064523100852966,-0.07028418779373169,-9.963048934936523;0.0;0.04529999941587448,-0.11029999703168869,-9.805899620056152;-0.0031590459402650595,-0.0026703537441790104,-0.0019373154500499368;0.07229999452829361,0.08089999854564667,0.41110000014305115;0.0,0.0,0.0;0.0;-0.995963990688324,-0.08954200148582458,-0.0017940000398084521;0.0
-0.6614987850189209,-0.04801810905337334,-9.792284965515137;0.0;0.053700000047683716,-0.11009999364614487,-9.80579948425293;-0.0026703537441790104,-0.0016231562476605177,-0.0031066860537976027;0.5248000025749207,0.05130000039935112,0.5090999603271484;0.0,0.0,0.0;0.0;-0.9959099888801575,-0.09012500196695328,-0.0022239999379962683;0.0
-0.3141671419143677,-0.052998051047325134,-9.609932899475098;0.0;0.05159999802708626,-0.11009999364614487,-9.80579948425293;-0.0015882495790719986,0.0038222710136324167,4.1887903353199363E-4;0.7622999548912048,0.031599998474121094,0.469899982213974;0.0,0.0,0.0;0.0;-0.9959049820899963,-0.09018199890851974,-0.0021100000012665987;0.0
0.09446562081575394,-0.04590163379907608,-9.436018943786621;0.0;0.04899999871850014,-0.10979999601840973,-9.805899620056152;-2.617993741296232E-4,0.004450589418411255,-8.726646192371845E-4;0.5196999907493591,-0.027400000020861626,0.1266999989748001;0.0,0.0,0.0;0.0;-0.9959210157394409,-0.0900140032172203,-0.001986999996006489;0.0
0.8443679213523865,-0.09947428852319717,-9.371365547180176;0.0;0.04749999940395355,-0.10949999839067459,-9.805899620056152;-0.0017802357906475663,0.007714355364441872,0.00143117003608495;-0.027799999341368675,-0.017899999395012856,-0.1281999945640564;0.0,0.0,0.0;0.0;-0.9959319829940796,-0.08989199995994568,-0.0019099999917671084;0.0
0.7906036972999573,-0.14528973400592804,-9.543441772460938;0.0;0.049799997359514236,-0.11009999364614487,-9.805899620056152;-0.003490658476948738,0.0041015236638486385,0.002722713630646467;-0.6381999850273132,0.021900000050663948,-0.275299996137619;0.0,0.0,0.0;0.0;-0.9959279894828796,-0.08993300050497055,-0.0020240000449121;0.0
0.23153844475746155,-0.16306428611278534,-9.873486518859863;0.0;0.052799999713897705,-0.1111999973654747,-9.80579948425293;-0.0034382985904812813,0.002234021434560418,0.0013613568153232336;-0.7490999698638916,0.062199998646974564,-0.11840000003576279;0.0,0.0,0.0;0.0;-0.9959219694137573,-0.08999499678611755,-0.002176000038161874;0.0
-0.39234262704849243,-0.13670893013477325,-10.083304405212402;0.0;0.05379999801516533,-0.11159999668598175,-9.80579948425293;-0.004817108623683453,-0.002827433403581381,-0.0019896754529327154;-0.4558999836444855,0.08219999819993973,0.1266999989748001;0.0,0.0,0.0;0.0;-0.9959350228309631,-0.08984500169754028,-0.0022239999379962683;0.0
-0.6913496851921082,-0.08539638668298721,-10.023306846618652;0.0;0.05379999801516533,-0.11129999905824661,-9.80579948425293;-0.003525565145537257,-0.0015882495790719986,-0.0011868239380419254;0.034299999475479126,0.08190000057220459,0.3522000014781952;0.0,0.0,0.0;0.0;-0.9959350228309631,-0.08984900265932083,-0.0022239999379962683;0.0
-0.4081347584724426,-0.05490383133292198,-9.684115409851074;0.0;0.05429999902844429,-0.11180000007152557,-9.80579948425293;-0.0028972465079277754,-2.0943951676599681E-4,-0.0013613568153232336;0.44579997658729553,0.05299999937415123,0.4796999990940094;0.0,0.0,0.0;0.0;-0.9959480166435242,-0.08970599621534348,-0.0022440000902861357;0.0
0.0986889973282814,-0.04548025503754616,-9.47750473022461;0.0;0.05179999768733978,-0.11109999567270279,-9.80579948425293;-8.901178953237832E-4,0.0012391837080940604,-0.00125663704238832;0.7718999981880188,0.02279999852180481,0.42089998722076416;0.0,0.0,0.0;0.0;-0.9959549903869629,-0.08963499963283539,-0.0021279999054968357;0.0
0.5842427015304565,-0.06085103377699852,-9.344003677368164;0.0;0.05069999769330025,-0.11159999668598175,-9.80579948425293;-0.0028797932900488377,3.8397242315113544E-4,-0.00143117003608495;0.5277999639511108,0.0625,0.469899982213974;0.0,0.0,0.0;0.0;-0.9959759712219238,-0.0894009992480278,-0.002067999914288521;0.0
0.8916294574737549,-0.11864705383777618,-9.408340454101562;0.0;0.04959999769926071,-0.11159999668598175,-9.80579948425293;-0.003403391921892762,0.007871435023844242,0.004084070213139057;0.8328999876976013,0.0037999998312443495,0.41110000014305115;0.0,0.0,0.0;0.0;-0.9959890246391296,-0.08924899995326996,-0.0020129999611526728;0.0
