0.0
calibration_0005.txt
0.16559256613254547,-0.006751649081707001,-9.667977333068848;0.0;0.19550000131130219,0.022099999710917473,-9.80459976196289;-0.001483529806137085,8.552113431505859E-4,-4.886921960860491E-4;-0.038599997758865356,-0.04169999808073044,0.13529999554157257;0.0,0.0,0.0;0.0;-0.6424660086631775,-0.7662479877471924,-0.0072730001993477345;0.0
0.0052002063021063805,0.29380685091018677,-9.73886489868164;0.0;0.2035999894142151,0.026099998503923416,-9.804499626159668;-0.002234021434560418,6.457717972807586E-4,-0.002373647876083851;0.46309998631477356,0.6699999570846558,0.321399986743927;0.0,0.0,0.0;0.0;-0.6425909996032715,-0.7661370038986206,-0.0076950001530349255;0.0
0.04616978392004967,-0.6150608658790588,-9.831894874572754;0.0;0.20819999277591705,0.0284000001847744,-9.804299354553223;-0.0034208453726023436,-4.5378561480902135E-4,-0.0021642083302140236;0.4291999936103821,0.5990999937057495,0.3310999870300293;0.0,0.0,0.0;0.0;-0.6425399780273438,-0.7661769986152649,-0.007933000102639198;0.0
0.17351259291172028,-0.5009914636611938,-9.825507164001465;0.0;0.20919999480247498,0.030499998480081558,-9.804299354553223;-0.0012217304902151227,0.0035604715812951326,4.0142572834156454E-4;0.6830999851226807,0.5381999611854553,0.2525999844074249;0.0,0.0,0.0;0.0;-0.6424959897994995,-0.766211986541748,-0.008046000264585018;0.0
7.948749698698521E-4,-0.591128408908844,-9.825573921203613;0.0;0.21239998936653137,0.034199997782707214,-9.804200172424316;1.9198621157556772E-4,0.0038920841179788113,-0.0019198621157556772;0.6209999918937683,0.554099977016449,0.27219998836517334;0.0,0.0,0.0;0.0;-0.642524003982544,-0.766185998916626,-0.00829899962991476;0.0
-0.3145023584365845,-0.6628108024597168,-9.813880920410156;0.0;0.21559999883174896,0.03759999945759773,-9.804200172424316;-0.0012391837080940604,0.0017278759041801095,-0.002740166848525405;0.7256999611854553,0.4624999761581421,0.2622999846935272;0.0,0.0,0.0;0.0;-0.6425120234489441,-0.7661939859390259,-0.008534000255167484;0.0
-0.4750862419605255,-0.6759406328201294,-9.806333541870117;0.0;0.21599999070167542,0.03909999877214432,-9.804100036621094;-0.0019373154500499368,-8.377580670639873E-4,-0.0036651913542300463;0.7450000047683716,0.3824999928474426,0.22299998998641968;0.0,0.0,0.0;0.0;-0.6424930095672607,-0.7662090063095093,-0.00860700011253357;0.0
-0.5668320059776306,-0.6525157690048218,-9.773638725280762;0.0;0.2184000015258789,0.03989999741315842,-9.804100036621094;-0.00296705961227417,0.001029744278639555,-0.003717551240697503;0.6639999747276306,0.18549999594688416,0.17399999499320984;0.0,0.0,0.0;0.0;-0.6425279974937439,-0.7661780118942261,-0.008720999583601952;0.0
-0.6350093483924866,-0.5171476006507874,-9.742121696472168;0.0;0.22100000083446503,0.0429999977350235,-9.803999900817871;-0.002600540639832616,-0.006475171539932489,-0.004345869645476341;0.48499998450279236,-0.0429999977350235,0.10520000010728836;0.0,0.0,0.0;0.0;-0.6425480246543884,-0.7661579847335815,-0.008923999965190887;0.0
-0.5566327571868896,-0.31428205966949463,-9.675189018249512;0.0;0.2207999974489212,0.044999998062849045,-9.803999900817871;-6.632251315750182E-4,0.001518436474725604,1.5707963029854E-4;0.181099995970726,-0.29999998211860657,0.06599999964237213;0.0,0.0,0.0;0.0;-0.6425459980964661,-0.7661600112915039,-0.008995999582111835;0.0
