80.0
calibration_0001.txt
0.15377478301525116,-0.09368032217025757,-9.682342529296875;0.0;0.15119999647140503,-0.06209999695420265,-9.80519962310791;-0.002600540639832616,3.490658491500653E-5,-1.7453292457503267E-5;-0.013899999670684338,-0.016300000250339508,0.12610000371932983;0.0,0.0,0.0;0.0;-0.7139099836349487,-0.7001870274543762,-0.003287999890744686;0.0
0.33064883947372437,-1.0706294775009155,-10.296858787536621;0.0;0.15119999647140503,-0.0632999986410141,-9.80519962310791;-0.0013962633674964309,-3.316125657875091E-4,-4.3633230961859226E-4;0.015399999916553497,-0.9564999938011169,-0.5112999677658081;0.0,0.0,0.0;0.0;-0.7138739824295044,-0.7002229690551758,-0.0032450000289827585;0.0
-0.10514376312494278,-0.7527945041656494,-10.205341339111328;0.0;0.15539999306201935,-0.06419999897480011,-9.80519962310791;-0.0063355453312397,0.002775073517113924,-0.0010471974965184927;0.5212000012397766,-0.4259999990463257,-0.18769998848438263;0.0,0.0,0.0;0.0;-0.7139130234718323,-0.7001810073852539,-0.0033629999961704016;0.0
0.7197257876396179,-0.07159620523452759,-9.66130256652832;0.0;0.1631999909877777,-0.06529999524354935,-9.804999351501465;0.005969026125967503,0.016947146505117416,0.0026529005263000727;-0.13369999825954437,0.771399974822998,0.7926999926567078;0.0,0.0,0.0;0.0;-0.7138519883155823,-0.7002379894256592,-0.0036059999838471413;0.0
-0.05167644843459129,0.6693613529205322,-9.059649467468262;0.0;0.16499999165534973,-0.06729999929666519,-9.804999351501465;0.0026354470755904913,4.1887903353199363E-4,-4.886921960860491E-4;-0.4983999729156494,-0.26600000262260437,-0.08980000019073486;0.0,0.0,0.0;0.0;-0.7138270139694214,-0.7002620100975037,-0.003601999953389168;0.0
-0.30263665318489075,0.422049880027771,-9.282405853271484;0.0;0.17019999027252197,-0.06399999558925629,-9.804900169372559;-0.004450589418411255,-0.003228859044611454,-8.028514566831291E-4;-0.3564999997615814,-0.5830999612808228,-0.344899982213974;0.0,0.0,0.0;0.0;-0.7137640118598938,-0.7003239989280701,-0.0039079999551177025;0.0
-0.3535757064819336,-0.3278907239437103,-9.908853530883789;0.0;0.16679999232292175,-0.06199999898672104,-9.804999351501465;-0.004607669077813625,-0.008918632753193378,-0.0033684854861348867;0.44110000133514404,-0.5066999793052673,-0.30559998750686646;0.0,0.0,0.0;0.0;-0.7136539816856384,-0.7004389762878418,-0.0038560000248253345;0.0
-0.10443507879972458,-0.7419248223304749,-10.2274169921875;0.0;0.16769999265670776,-0.06189999729394913,-9.804999351501465;-0.005393067374825478,-0.011571533046662807,-0.004206243436783552;0.5381999611854553,-0.08509999513626099,0.04739999771118164;0.0,0.0,0.0;0.0;-0.7135840058326721,-0.7005090117454529,-0.0038930000737309456;0.0
0.16248968243598938,-0.8617210984230042,-10.339848518371582;0.0;0.16990000009536743,-0.06260000169277191,-9.804900169372559;-0.0018675023457035422,-2.9670598451048136E-4,-0.0020943949930369854;0.4576999843120575,0.35679998993873596,0.459199994802475;0.0,0.0,0.0;0.0;-0.7135689854621887,-0.7005230188369751,-0.003942000214010477;0.0
0.49497726559638977,-0.7254239320755005,-10.232828140258789;0.0;0.17069999873638153,-0.06239999830722809,-9.804900169372559;-0.0014660765882581472,0.0020420351065695286,0.0;0.28029999136924744,0.6114999651908875,0.6944999694824219;0.0,0.0,0.0;0.0;-0.7135879993438721,-0.7005029916763306,-0.003984000068157911;0.0
0.6095350384712219,-0.5555984377861023,-10.11550235748291;0.0;0.16839998960494995,-0.0608999989926815,-9.804999351501465;-8.377580670639873E-4,0.002775073517113924,-1.7453292457503267E-5;0.04729999974370003,0.7375999689102173,0.8220999836921692;0.0,0.0,0.0;0.0;-0.7135279774665833,-0.7005659937858582,-0.00394799979403615;0.0
0.701654314994812,-0.32224997878074646,-9.87989330291748;0.0;0.16769999265670776,-0.05869999900460243,-9.804999351501465;-3.665191470645368E-4,0.0038397242315113544,0.0011693706037476659;-9.999999310821295E-4,0.7353999614715576,0.8122999668121338;0.0,0.0,0.0;0.0;-0.7134810090065002,-0.7006149888038635,-0.004004000220447779;0.0
0.6446914672851562,-0.46538493037223816,-10.028965950012207;0.0;0.1688999980688095,-0.05989999696612358,-9.804999351501465;-0.0028972465079277754,0.0011693706037476659,0.0015009831404313445;0.03700000047683716,0.7170000076293945,0.8220999836921692;0.0,0.0,0.0;0.0;-0.7134619951248169,-0.7006329894065857,-0.004004000220447779;0.0
0.7008402943611145,-0.3130083680152893,-9.887832641601562;0.0;0.16869999468326569,-0.058399997651576996,-9.804999351501465;-0.0021293016616255045,-3.665191470645368E-4,4.3633230961859226E-4;-0.011799999512732029,0.7448999881744385,0.8220999836921692;0.0,0.0,0.0;0.0;-0.713424026966095,-0.7006719708442688,-0.0040480000898242;0.0
