720.0
calibration_0010.txt
0.19437086582183838,-0.04493437707424164,-9.676548957824707;0.0;0.17389999330043793,-0.028599999845027924,-9.804999351501465;-0.002234021434560418,9.599310578778386E-4,-0.0015009831404313445;-0.007199999876320362,-6.99999975040555E-4,0.13570000231266022;0.0,0.0,0.0;0.0;-0.6848940253257751,-0.7285869717597961,-0.005009000189602375;0.0
0.2051926553249359,0.08640195429325104,-9.678110122680664;0.0;0.17239999771118164,-0.034699998795986176,-9.804999351501465;-0.002146754879504442,0.0016231562476605177,-0.003281218931078911;0.18060000240802765,0.11319999396800995,0.1160999983549118;0.0,0.0,0.0;0.0;-0.6851829886436462,-0.728314995765686,-0.004730999935418367;0.0
-0.2227756828069687,-0.17027561366558075,-9.653153419494629;0.0;0.16019999980926514,-0.03819999843835831,-9.80519962310791;-0.0031241392716765404,0.0,-0.005323254037648439;0.7418999671936035,0.18529999256134033,0.2044999897480011;0.0,0.0,0.0;0.0;-0.6853259801864624,-0.7281870245933533,-0.0041809999383986;0.0
-0.12989023327827454,-0.08786720037460327,-9.745128631591797;0.0;0.15839999914169312,-0.03920000046491623,-9.80519962310791;-0.0018500490114092827,0.004014257341623306,-0.0038397242315113544;0.527999997138977,0.10779999941587448,0.2142999917268753;0.0,0.0,0.0;0.0;-0.6852970123291016,-0.7282159924507141,-0.0040779998525977135;0.0
-0.23417207598686218,-0.12138602137565613,-9.7603178024292;0.0;0.1573999971151352,-0.03999999910593033,-9.805299758911133;-0.002914699725806713,0.0010646508308127522,-0.0024434609804302454;0.11710000038146973,0.010499999858438969,0.21439999341964722;0.0,0.0,0.0;0.0;-0.6853150129318237,-0.7281990051269531,-0.004015999846160412;0.0
0.23584802448749542,0.007354987785220146,-9.722029685974121;0.0;0.15629999339580536,-0.03969999775290489,-9.805299758911133;-0.003804817795753479,-0.0011868239380419254,-0.0027576202992349863;-0.15629999339580536,-0.0778999999165535,0.204599991440773;0.0,0.0,0.0;0.0;-0.6852689981460571,-0.7282429933547974,-0.003988000098615885;0.0
0.3725186288356781,0.057834334671497345,-9.729422569274902;0.0;0.15389999747276306,-0.03849999979138374,-9.805299758911133;-0.00457276264205575,-0.004398229531943798,-0.0025656339712440968;-0.3303999900817871,-0.12809999287128448,0.16539999842643738;0.0,0.0,0.0;0.0;-0.6852139830589294,-0.7282959818840027,-0.003945999778807163;0.0
0.8672085404396057,0.1697680503129959,-9.617603302001953;0.0;0.15559999644756317,-0.040300000458955765,-9.805299758911133;-0.002199114765971899,-6.981316983001307E-5,0.0017802357906475663;-0.5564000010490417,-0.16519999504089355,0.04769999906420708;0.0,0.0,0.0;0.0;-0.6853330135345459,-0.7281829714775085,-0.003882999997586012;0.0
0.6500257849693298,0.12696930766105652,-9.690895080566406;0.0;0.1525999903678894,-0.04010000079870224,-9.805299758911133;-0.002827433403581381,-0.0031590459402650595,4.7123889089562E-4;-0.5643999576568604,-0.16569998860359192,0.10659999400377274;0.0,0.0,0.0;0.0;-0.6853600144386292,-0.7281590104103088,-0.0038419999182224274;0.0
0.5396051406860352,0.10335289686918259,-9.688558578491211;0.0;0.1533999890089035,-0.04010000079870224,-9.805299758911133;-0.0023387412074953318,-8.203047327697277E-4,-0.003228859044611454;-0.3789999783039093,-0.1460999995470047,0.1850000023841858;0.0,0.0,0.0;0.0;-0.6853110194206238,-0.7282050251960754,-0.003872999921441078;0.0
