0.0
calibration_0006.txt
0.0027676972094923258,0.0071059903129935265,-9.674059867858887;0.0;0.13769999146461487,0.2856000065803528,-9.801499366760254;-0.004084070213139057,8.552113431505859E-4,-0.0018500490114092827;-0.13769999146461487,-0.2856000065803528,0.14190000295639038;0.0,0.0,0.0;0.0;0.9994580149650574,-0.028666000813245773,0.006603999994695187;0.0
0.6829221248626709,0.23241952061653137,-9.979636192321777;0.0;0.13809999823570251,0.287200003862381,-9.801400184631348;-0.002199114765971899,0.005742133129388094,1.3962633966002613E-4;-0.13809999823570251,0.10489999502897263,0.5047000050544739;0.0,0.0,0.0;0.0;0.999468982219696,-0.028232000768184662,0.0066269999369978905;0.0
0.9905866384506226,0.29520508646965027,-9.540635108947754;0.0;0.14309999346733093,0.2897999882698059,-9.801300048828125;-0.0041015236638486385,0.003577925032004714,5.235987482592463E-4;0.6609999537467957,0.09259999543428421,0.632099986076355;0.0,0.0,0.0;0.0;0.9994869828224182,-0.02742600068449974,0.006889999844133854;0.0
1.1529039144515991,0.3868550956249237,-9.49063491821289;0.0;0.14259999990463257,0.2947999835014343,-9.80109977722168;-0.004502949304878712,0.0026354470755904913,0.003036872949451208;0.4554999768733978,0.009099999442696571,0.6416999697685242;0.0,0.0,0.0;0.0;0.9995039701461792,-0.026681000366806984,0.00686699990183115;0.0
1.1469566822052002,0.38792771100997925,-9.464911460876465;0.0;0.14229999482631683,0.29899999499320984,-9.800999641418457;-0.003298672381788492,0.0022165682166814804,0.0042236968874931335;0.75,0.07360000163316727,0.6513999700546265;0.0,0.0,0.0;0.0;0.9995189905166626,-0.025994999334216118,0.006858000066131353;0.0
0.8362851142883301,0.26662787795066833,-9.663619995117188;0.0;0.14459998905658722,0.3021000027656555,-9.800899505615234;-0.003228859044611454,0.00617846567183733,0.003630284918472171;1.0516999959945679,0.11949999630451202,0.5238000154495239;0.0,0.0,0.0;0.0;0.999538004398346,-0.025126000866293907,0.00698699988424778;0.0
-0.1439489871263504,-0.10634086281061172,-9.989068984985352;0.0;0.15070000290870667,0.3050000071525574,-9.800700187683105;-0.003543018363416195,0.001658062799833715,5.934119690209627E-4;0.3003000020980835,-0.18729999661445618,0.04309999942779541;0.0,0.0,0.0;0.0;0.9995549917221069,-0.024233000352978706,0.007304999977350235;0.0
-1.1464779376983643,-0.4454268515110016,-9.97922420501709;0.0;0.1533999890089035,0.30959999561309814,-9.80049991607666;-0.004188789986073971,7.504915702156723E-4,-6.2831852119416E-4;-1.0850999355316162,-0.6822999715805054,-0.2021999955177307;0.0,0.0,0.0;0.0;0.9995719790458679,-0.02333199977874756,0.007455999962985516;0.0
-0.4625023305416107,-0.10103531181812286,-9.403926849365234;0.0;0.15389999747276306,0.31349998712539673,-9.800399780273438;-0.004380776546895504,-0.0011868239380419254,-0.00188495556358248;-1.0953999757766724,-0.6175000071525574,0.14079999923706055;0.0,0.0,0.0;0.0;0.9995890259742737,-0.02243500016629696,0.00749099999666214;0.0
0.8226764798164368,0.35815340280532837,-9.09095573425293;0.0;0.1581999957561493,0.31630000472068787,-9.800199508666992;-0.0014486232539638877,0.008342674002051353,0.010838494636118412;-1.256600022315979,-0.679099977016449,0.07199999690055847;0.0,0.0,0.0;0.0;0.9996029734611511,-0.021635999903082848,0.007720999885350466;0.0
